Report Date,Day of Week,Strategy Switch,20th Trading Day,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7
2026-04-09,Thursday,OFF (Bearish),2026-05-08,ARMADA,MNHLDG,IOICORP,NE,PARAGON,JPG,DIALOG
2026-04-10,Friday,OFF (Bearish),2026-05-11,MNHLDG,ARMADA,PARAGON,IOICORP,UWC,HARTA,DRBHCOM
2026-04-13,Monday,OFF (Bearish),2026-05-12,ARMADA,MNHLDG,SLVEST,IOICORP,PARAGON,DRBHCOM,DIALOG
2026-04-14,Tuesday,OFF (Bearish),2026-05-13,PARAGON,IOICORP,MNHLDG,RANHILL,ARMADA,PEKAT,CBHB
2026-04-15,Wednesday,OFF (Bearish),2026-05-14,PARAGON,PEKAT,VITROX,UWC,MNHLDG,SLVEST,ITMAX
2026-04-16,Thursday,OFF (Bearish),2026-05-15,KGB,ZETRIX,VITROX,RANHILL,MPI,FRONTKN,UWC
2026-04-17,Friday,OFF (Bearish),2026-05-18,ZETRIX,VITROX,KGB,MPI,CBHB,RANHILL,PEKAT
2026-04-20,Monday,OFF (Bearish),2026-05-19,ZETRIX,MPI,KGB,UWC,MNHLDG,VITROX,CORAZA
2026-04-21,Tuesday,ON (Bullish),2026-05-20,ZETRIX,RANHILL,KGB,UWC,VITROX,MPI,AEONCR
2026-04-22,Wednesday,ON (Bullish),2026-05-21,RANHILL,UWC,KGB,VITROX,ZETRIX,AEONCR,MPI
2026-04-23,Thursday,ON (Bullish),2026-05-22,ZETRIX,AEONCR,VITROX,KGB,ARMADA,UWC,MPI
2026-04-24,Friday,ON (Bullish),2026-05-25,ZETRIX,MPI,KGB,UWC,AEONCR,ARMADA,PMETAL
2026-04-27,Monday,ON (Bullish),2026-05-26,ZETRIX,FRONTKN,AEONCR,MI,MPI,VITROX,KGB
2026-04-28,Tuesday,ON (Bullish),2026-05-28,E&O,UNISEM,ZETRIX,AEONCR,FRONTKN,HIAPTEK,SIMEPROP
2026-04-29,Wednesday,ON (Bullish),2026-05-29,E&O,UEMS,PENTA,HIAPTEK,UNISEM,ZETRIX,MPI
2026-04-30,Thursday,ON (Bullish),2026-06-02,E&O,UNISEM,PENTA,HIAPTEK,SPSETIA,MPI,UEMS
2026-05-04,Monday,ON (Bullish),2026-06-03,PWRWELL,UNISEM,VSTECS,IGBREIT,VITROX,MPI,E&O
2026-05-05,Tuesday,ON (Bullish),2026-06-04,UNISEM,PWRWELL,FRONTKN,PMETAL,IOIPG,RANHILL,PENTA
2026-05-06,Wednesday,ON (Bullish),2026-06-05,FRONTKN,UNISEM,PWRWELL,RANHILL,SPSETIA,VITROX,PENTA
2026-05-07,Thursday,ON (Bullish),2026-06-08,FRONTKN,UNISEM,RANHILL,SPSETIA,GDB,UWC,PENTA
2026-05-08,Friday,ON (Bullish),2026-06-09,UNISEM,SPSETIA,RANHILL,IOIPG,FRONTKN,GDB,SIMEPROP
2026-05-11,Monday,ON (Bullish),2026-06-10,SPSETIA,SIMEPROP,RANHILL,UNISEM,GDB,FRONTKN,MI
2026-05-12,Tuesday,ON (Bullish),2026-06-11,UNISEM,SPSETIA,PMETAL,UWC,GDB,BAT,HLIND
2026-05-13,Wednesday,ON (Bullish),2026-06-12,FRONTKN,SPSETIA,EG,PMETAL,UNISEM,VITROX,MPI
2026-05-14,Thursday,ON (Bullish),2026-06-15,SIMEPROP,UNISEM,PWRWELL,RANHILL,FRONTKN,VSTECS,PMETAL
2026-05-15,Friday,ON (Bullish),2026-06-16,IGBREIT,AXREIT,ECOMATE,RANHILL,UNISEM,SIMEPROP,EG
2026-05-18,Monday,ON (Bullish),2026-06-18,RANHILL,UNISEM,EG,MKHOP,VSTECS,HEGROUP,PMETAL
2026-05-19,Tuesday,ON (Bullish),2026-06-19,RANHILL,WPRTS,EG,UNISEM,VSTECS,TMK,FRONTKN
